,account_access,account_security,app_technical,billing_charges,content_availability,device_integration,feature_howto,other,praise_feedback,subscription_management
account_access,15,0,0,0,0,0,1,0,0,1
account_security,0,14,0,0,0,0,0,0,0,0
app_technical,0,0,23,0,2,0,2,2,0,1
billing_charges,0,0,0,18,0,0,1,0,0,3
content_availability,0,0,1,0,15,0,1,0,0,0
device_integration,0,0,1,0,0,10,0,1,0,0
feature_howto,0,0,3,0,4,0,21,0,0,0
other,1,0,1,1,1,0,1,23,0,1
praise_feedback,0,0,0,1,0,0,0,0,12,0
subscription_management,0,0,0,0,0,0,2,0,0,16
