,account_access,account_security,app_technical,billing_charges,content_availability,device_integration,feature_howto,other,praise_feedback,subscription_management
account_access,0,0,0,0,0,0,0,0,0,0
account_security,0,0,0,0,0,0,0,0,0,0
app_technical,0,0,0,0,0,0,0,0,0,0
billing_charges,0,0,0,0,0,0,0,0,0,0
content_availability,0,0,0,0,0,0,0,0,0,0
device_integration,0,0,0,0,0,0,0,0,0,0
feature_howto,16,14,29,20,22,10,29,26,12,22
other,0,0,0,0,0,0,0,0,0,0
praise_feedback,0,0,0,0,0,0,0,0,0,0
subscription_management,0,0,0,0,0,0,0,0,0,0
